Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt6506264,4,2022-02-21,"Éxodo: La Última Marea","Tides",https://www.imdb.com/title/tt6506264,Película,5.4,104,2021,"Ciencia ficción, Suspenso, Acción, Aventura",14257,"2022-06-09","Tim Fehlbaum"
tt8635092,3,2022-02-21,"Todos Hablan De Jamie","Everybody's Talking About Jamie",https://www.imdb.com/title/tt8635092,Película,6.6,115,2021,"Musical, Drama, Biografía, Comedia",8208,"2021-09-17","Jonathan Butterell,Dan Gillespie Sells,Tom MacRae"
tt10665338,7,2022-02-21,"Halloween Kills: La noche aún no termina","Halloween Kills",https://www.imdb.com/title/tt10665338,Película,5.5,105,2021,"Terror, Suspenso, Acción, Drama",108321,"2021-10-14","David Gordon Green"
tt3420504,7,2022-02-21,"Finch","Finch",https://www.imdb.com/title/tt3420504,Película,6.9,115,2021,"Ciencia ficción, Drama, Aventura",111936,"2021-11-05","Miguel Sapochnik"
tt11235772,8,2022-02-21,"Los voyeristas","The Voyeurs",https://www.imdb.com/title/tt11235772,Película,6.1,116,2021,"Suspenso, Drama, Misterio, Romance",49472,"2021-09-10","Michael Mohan"
tt7740510,4,2022-02-21,"Espíritus Oscuros","Antlers",https://www.imdb.com/title/tt7740510,Película,5.9,99,2021,"Terror, Misterio, Drama",49686,"2021-10-28","Scott Cooper"
tt14992922,9,2022-02-21,"El estafador de Tinder","The Tinder Swindler",https://www.imdb.com/title/tt14992922,Película,7.1,114,2022,"Documental, Crimen",77792,"2022-02-02","Felicity Morris"
tt14169960,4,2022-02-21,"Estamos muertos","Jigeum uri hakgyoneun",https://www.imdb.com/title/tt14169960,Serie de TV,7.6,60,2022,"Fantasía, Terror, Drama, Acción, Suspenso, Ciencia ficción",91190,"2022-01-28",
tt8772296,10,2022-02-21,"Euphoria","Euphoria",https://www.imdb.com/title/tt8772296,Serie de TV,8.2,60,2019,"Drama",306401,"2019-06-21",
tt8372094,6,2022-02-18,"The Education of Fredrick Fitzell","The Education of Fredrick Fitzell",https://www.imdb.com/title/tt8372094,Película,5.4,97,2020,"Suspenso, Drama, Misterio",7882,"2021-06-04","Christopher MacBride,Breann Smordin"
tt13365348,7,2022-02-07,"Archivo 81","Archive 81",https://www.imdb.com/title/tt13365348,Serie de TV,7.3,60,2022,"Terror, Drama, Ciencia ficción, Misterio, Suspenso",67772,"2022-01-14",
tt13315324,3,2022-02-07,"La mujer de la casa de enfrente de la chica en la ventana","The Woman in the House Across the Street from the Girl in the Window",https://www.imdb.com/title/tt13315324,Miniserie de TV,6.4,26,2022,"Comedia, Suspenso, Drama, Misterio, Crimen",60602,"2022-01-28",
tt11233960,8,2021-12-15,"Imperdonable","The Unforgivable",https://www.imdb.com/title/tt11233960,Película,7.2,112,2021,"Drama, Crimen, Misterio",128382,"2021-12-10","Nora Fingscheidt"
tt12800524,7,2021-12-15,"Encounter","Encounter",https://www.imdb.com/title/tt12800524,Película,5.9,108,2021,"Ciencia ficción, Suspenso, Drama",11657,"2021-12-10","Michael Pearce"
tt1099212,5,2021-12-11,"Crepúsculo","Twilight",https://www.imdb.com/title/tt1099212,Película,5.4,122,2008,"Romance, Fantasía, Drama",527426,"2008-11-21","Catherine Hardwicke"
tt10293406,9,2021-12-07,"El poder del perro","The Power of the Dog",https://www.imdb.com/title/tt10293406,Película,6.8,126,2021,"Drama, Oeste",232209,"2021-12-01","Jane Campion"
tt6264654,7,2021-12-04,"Free Guy. Tomando el control","Free Guy",https://www.imdb.com/title/tt6264654,Película,7.1,115,2021,"Acción, Comedia, Ciencia ficción, Aventura, Fantasía, Romance",489467,"2021-08-12","Shawn Levy"
tt9639470,10,2021-11-20,"El misterio de Soho","Last Night in Soho",https://www.imdb.com/title/tt9639470,Película,7.0,116,2021,"Terror, Suspenso, Drama, Misterio",199867,"2021-10-28","Edgar Wright"
tt11337908,8,2021-10-12,"Las cosas por limpiar","Maid",https://www.imdb.com/title/tt11337908,Miniserie de TV,8.3,60,2021,"Drama",120490,"2021-10-01",
tt2382320,10,2021-10-02,"Sin tiempo para morir","No Time to Die",https://www.imdb.com/title/tt2382320,Película,7.3,163,2021,"Acción, Suspenso, Aventura",488352,"2021-09-30","Cary Joji Fukunaga"
tt1160419,9,2021-10-02,"Duna","Dune: Part One",https://www.imdb.com/title/tt1160419,Película,8.0,155,2021,"Ciencia ficción, Aventura, Drama, Acción",1054922,"2021-10-21","Denis Villeneuve"
tt9140560,9,2021-07-18,"WandaVision","WandaVision",https://www.imdb.com/title/tt9140560,Miniserie de TV,7.9,40,2021,"Acción, Ciencia ficción, Fantasía, Comedia, Misterio, Drama, Romance",416672,"2021-01-15",
tt8332922,9,2021-07-18,"Un lugar en silencio: Parte II","A Quiet Place Part II",https://www.imdb.com/title/tt8332922,Película,7.2,97,2020,"Drama, Suspenso, Ciencia ficción, Terror",323511,"2021-06-09","John Krasinski"
tt10166602,8,2021-07-18,"Love, Victor","Love, Victor",https://www.imdb.com/title/tt10166602,Serie de TV,7.9,30,2020,"Comedia, Drama, Romance",24735,"2021-08-31",
tt1878870,9,2021-07-18,"Mi vida a los diecisiete","The Edge of Seventeen",https://www.imdb.com/title/tt1878870,Película,7.3,104,2016,"Comedia, Drama, Romance",151675,"2017-01-13","Kelly Fremon Craig"
tt3890160,9,2021-07-18,"Baby, el aprendiz del crimen","Baby Driver",https://www.imdb.com/title/tt3890160,Película,7.5,113,2017,"Acción, Música, Crimen, Drama",685215,"2017-08-10","Edgar Wright"
tt8772262,10,2021-07-18,"Midsommar. El terror no espera la noche","Midsommar",https://www.imdb.com/title/tt8772262,Película,7.1,148,2019,"Terror, Drama, Misterio, Suspenso",485082,"2019-09-20","Ari Aster"
tt1489887,8,2021-07-18,"La noche de las nerds","Booksmart",https://www.imdb.com/title/tt1489887,Película,7.1,102,2019,"Comedia",140404,"2019-08-16","Olivia Wilde"
tt12801262,9,2021-07-18,"Luca","Luca",https://www.imdb.com/title/tt12801262,Película,7.4,95,2021,"Animación, Aventura, Fantasía, Familia, Comedia, Drama",223601,"2021-06-18","Enrico Casarosa"
tt2531336,8,2021-07-18,"Lupin","Lupin",https://www.imdb.com/title/tt2531336,Serie de TV,7.5,45,2021,"Crimen, Drama, Misterio, Acción",158866,"2021-01-08",
tt12809988,8,2021-07-18,"Sweet Tooth","Sweet Tooth",https://www.imdb.com/title/tt12809988,Serie de TV,7.7,50,2021,"Fantasía, Ciencia ficción, Acción, Aventura, Drama",78904,"2021-06-04",
tt5726616,9,2021-07-18,"Llámame por tu nombre","Call Me by Your Name",https://www.imdb.com/title/tt5726616,Película,7.8,132,2017,"Drama, Romance",359634,"2018-02-02","Luca Guadagnino"
tt9620292,9,2021-07-18,"Hermosa Venganza","Promising Young Woman",https://www.imdb.com/title/tt9620292,Película,7.5,113,2020,"Crimen, Drama, Suspenso, Misterio",256086,"2021-04-08","Emerald Fennell"
tt9701940,8,2021-07-18,"La calle del terror (Parte 2): 1978","Fear Street: 1978",https://www.imdb.com/title/tt9701940,Película,6.7,109,2021,"Terror, Misterio, Drama",90833,"2021-07-09","Leigh Janiak"
tt9777666,8,2021-07-18,"La guerra del mañana","The Tomorrow War",https://www.imdb.com/title/tt9777666,Película,6.6,138,2021,"Acción, Ciencia ficción, Aventura, Suspenso, Drama",254185,"2021-07-02","Chris McKay"
tt6566576,7,2021-07-18,"La calle del terror (Parte 1): 1994","Fear Street: 1994",https://www.imdb.com/title/tt6566576,Película,6.2,107,2021,"Misterio, Terror, Drama",110365,"2021-07-02","Leigh Janiak"
tt4682266,3,2021-07-11,"Los nuevos mutantes","The New Mutants",https://www.imdb.com/title/tt4682266,Película,5.3,94,2020,"Acción, Ciencia ficción, Terror, Misterio",101551,"2020-09-03","Josh Boone"
tt6475714,3,2021-07-11,"Monster Hunter: La Cacería Comienza","Monster Hunter",https://www.imdb.com/title/tt6475714,Película,5.2,103,2020,"Animación, Fantasía, Acción, Aventura",75321,"2021-02-18","Paul W.S. Anderson"
tt7069210,7,2021-07-11,"El conjuro 3: El diablo me obligó a hacerlo","The Conjuring: The Devil Made Me Do It",https://www.imdb.com/title/tt7069210,Película,6.2,112,2021,"Terror, Misterio, Suspenso",169806,"2021-06-02","Michael Chaves"
tt2948372,7,2021-07-11,"Soul","Soul",https://www.imdb.com/title/tt2948372,Película,8.0,100,2020,"Animación, Familia, Aventura, Fantasía, Música, Comedia, Drama",449847,"2020-12-25","Pete Docter,Kemp Powers"
tt8633478,8,2021-07-11,"Corre","Run",https://www.imdb.com/title/tt8633478,Película,6.7,90,2020,"Suspenso, Misterio, Drama, Terror",113086,"2020-12-17","Aneesh Chaganty"
tt5994166,8,2021-06-05,"First Light","First Light",https://www.imdb.com/title/tt5994166,Película,5.6,90,2018,"Suspenso, Ciencia ficción, Drama",4876,"2018-09-28","Jason Stone"
tt7985576,9,2021-06-04,"La Serpiente","The Serpent",https://www.imdb.com/title/tt7985576,Miniserie de TV,7.6,60,2021,"Crimen, Suspenso, Drama",54788,"2021-01-01",
tt10155688,8,2021-05-19,"Yegua de Easttown","Mare of Easttown",https://www.imdb.com/title/tt10155688,Miniserie de TV,8.4,60,2021,"Drama, Crimen, Misterio",222343,"2021-04-18",
tt6111574,6,2021-05-16,"La mujer en la ventana","The Woman in the Window",https://www.imdb.com/title/tt6111574,Película,5.7,100,2021,"Drama, Suspenso, Crimen, Misterio",90400,"2021-05-14","Joe Wright"
tt7562112,10,2021-05-07,"Pose","Pose",https://www.imdb.com/title/tt7562112,Serie de TV,8.6,60,2018,"Drama",36632,"2018-10-05",
tt11454722,8,2021-04-01,"Generation","Genera+ion",https://www.imdb.com/title/tt11454722,Serie de TV,7.2,30,2021,"Comedia, Drama",6424,"2021-03-11",
tt9893250,10,2021-03-14,"Descuida, yo te cuido","I Care a Lot",https://www.imdb.com/title/tt9893250,Película,6.4,118,2020,"Comedia, Crimen, Suspenso, Drama",159058,"2021-02-19","J Blakeson"
tt9140342,10,2021-01-29,"It's a Sin","It's a Sin",https://www.imdb.com/title/tt9140342,Miniserie de TV,8.6,45,2021,"Drama",40800,"2021-01-22",
tt9691136,6,2021-01-24,"Una sombra en la nube","Shadow in the Cloud",https://www.imdb.com/title/tt9691136,Película,5.0,83,2020,"Acción, Terror, Guerra",34394,"2022-01-07","Roseanne Liang"
tt2222042,6,2021-01-24,"Love and Monsters","Love and Monsters",https://www.imdb.com/title/tt2222042,Película,6.9,109,2020,"Animación, Aventura, Comedia, Fantasía, Ciencia ficción, Acción",160021,"2021-04-14","Michael Matthews"
tt10451914,8,2021-01-18,"Zona de riesgo","Outside the Wire",https://www.imdb.com/title/tt10451914,Película,5.4,114,2021,"Animación, Acción, Ciencia ficción, Aventura, Fantasía",48819,"2021-01-15","Mikael Håfström"
tt11161474,9,2021-01-09,"Fragmentos de una mujer","Pieces of a Woman",https://www.imdb.com/title/tt11161474,Película,7.0,126,2020,"Drama",60263,"2021-01-07","Kornél Mundruczó"
tt0974661,4,2021-01-09,"17 otra vez","17 Again",https://www.imdb.com/title/tt0974661,Película,6.4,102,2009,"Comedia, Drama, Fantasía, Romance, Deportes",232358,"2009-06-19","Burr Steers"
